,,590,579,588,589
F4,Times1,51.856759492025766,59.7293554576236,49.07009437857474,46.74601449743079
F4,Times2,57.01445155620407,58.27075802145975,52.14500428991419,54.85053758846415
F4,Times3,52.464297713625164,56.84652298832409,49.1378766207176,49.326548094742414
F4,Times4,53.40757103153459,62.6571048790978,53.58584788063168,50.95847979953216
F4,Times5,53.21567664806128,55.02415034679335,53.17223144599652,47.79944334330066
F4,Times6,53.88747848092111,59.25314304039018,56.95524504250113,47.42320668280009
F4,Times7,52.12050653379232,58.72794219424667,48.915751064318926,50.21988536971695
F4,Times8,47.446538393278445,59.54714534336468,55.20857214044143,47.46112212398397
F4,Times9,53.20497642738655,59.3229357968972,51.28109112392826,52.70214355049743
F4,Times10,52.25611585155069,62.431022573342105,49.78937962095712,48.176860395065695
F5,Times1,5298.322407364077,3183.5415834112646,6849.386435357359,7243.102384674224
F5,Times2,5697.592614135361,5018.290058568828,7704.049841168599,8304.08395718694
F5,Times3,7005.89238348699,3522.5426931071734,7755.401326564716,6292.3518266777055
F5,Times4,5694.075888206708,3022.846263777076,4953.410329149673,5544.982434281884
F5,Times5,5210.940166818721,5598.993963881378,5071.0320006593565,6988.56072941761
F5,Times6,5998.818745669587,3364.2974149131373,5351.836969234176,4843.907206457716
F5,Times7,6098.056985534608,2536.407721581956,5228.919665073122,4890.357582376851
F5,Times8,5713.403009838115,4493.947496376685,5899.12320432406,7424.292691398171
F5,Times9,5464.49533422786,4268.997972005062,6565.670159369639,6560.924749423499
F5,Times10,5741.1181818444265,3502.1130195262544,4829.162196457526,5551.799542043242
F6,Times1,237.84714683735407,85.8083392976561,253.61709500900105,274.0106472092348
F6,Times2,247.59328979111908,91.63102871230996,276.7675242657855,260.0228079703149
F6,Times3,236.77121926175465,99.17921640011124,260.2969532867019,259.2477291419928
F6,Times4,257.0824467802361,96.88634388461168,249.1317410750117,264.39179279599847
F6,Times5,239.18103191883736,86.89213703462394,272.1855017205579,269.1770291271181
F6,Times6,243.86473679508023,93.40374248564116,265.4234438462474,267.7008181123954
F6,Times7,268.9010625811216,93.844528571949,251.93136236347368,256.3118359865553
F6,Times8,248.08541212848897,99.78211085649484,255.2206298558761,252.17976423178723
F6,Times9,254.59642090045085,89.06508814953635,232.80392728051515,267.4919118754941
F6,Times10,247.5460669234756,93.94124015848284,242.98949887571868,258.2988537080194
F7,Times1,0.0043635677330528,0.0005107902276654,0.0037551004317739,0.0038044628270571
F7,Times2,0.0034863933256309,0.00050139485026,0.0039581382451397,0.0040521718080717
F7,Times3,0.0044844368649739,0.0005315120780118,0.0041608813414504,0.0036360785809154
F7,Times4,0.0046287094965386,0.0004929861394182,0.0039119928975129,0.0046947780899271
