,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555,Function
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F12
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F13
