,ranking
603,1131.0
1039,1132.0
912,1133.0
602,1134.0
930,1135.0
891,1136.0
947,1137.0
819,1138.0
952,1139.0
958,1140.0
1056,1141.0
921,1142.0
967,1143.0
1091,1144.0
970,1145.0
1037,1146.0
927,1147.0
962,1148.0
976,1149.0
1038,1150.0
980,1151.0
1073,1152.0
949,1153.0
942,1154.0
1055,1155.0
909,1156.0
972,1157.0
1021,1158.0
995,1159.0
969,1160.0
1019,1161.0
964,1162.0
955,1163.0
954,1164.0
979,1165.0
1020,1166.0
924,1167.0
986,1168.0
951,1169.0
989,1170.0
975,1171.0
992,1172.0
961,1173.0
1003,1174.0
1001,1175.0
998,1176.0
1000,1177.0
990,1178.0
960,1179.0
993,1180.0
948,1181.0
946,1182.0
945,1183.0
957,1184.0
1002,1185.0
963,1186.0
966,1187.0
984,1188.0
991,1189.0
985,1190.0
994,1191.0
988,1192.0
983,1193.0
999,1194.0
978,1195.0
982,1196.0
981,1197.0
987,1198.0
997,1199.0
996,1200.0
