,iterations,mutation_rate,num_individuals,range_mutation,crossover_probability,Mutation_type,Crossover_type
175,1000000,1.0,200,2.0,0.5,Normal,Linear_combination_crossover
176,1000000,1.0,200,2.0,0.6,Normal,Linear_combination_crossover
177,1000000,1.0,200,2.0,0.7,Normal,Linear_combination_crossover
178,1000000,1.0,200,5.0,0.5,Normal,Linear_combination_crossover
179,1000000,1.0,200,5.0,0.6,Normal,Linear_combination_crossover
180,1000000,1.0,200,5.0,0.7,Normal,Linear_combination_crossover
181,1000000,2.0,100,0.01,0.5,Normal,Linear_combination_crossover
182,1000000,2.0,100,0.01,0.6,Normal,Linear_combination_crossover
183,1000000,2.0,100,0.01,0.7,Normal,Linear_combination_crossover
184,1000000,2.0,100,0.25,0.5,Normal,Linear_combination_crossover
185,1000000,2.0,100,0.25,0.6,Normal,Linear_combination_crossover
186,1000000,2.0,100,0.25,0.7,Normal,Linear_combination_crossover
187,1000000,2.0,100,0.55,0.5,Normal,Linear_combination_crossover
188,1000000,2.0,100,0.55,0.6,Normal,Linear_combination_crossover
189,1000000,2.0,100,0.55,0.7,Normal,Linear_combination_crossover
190,1000000,2.0,100,0.9,0.5,Normal,Linear_combination_crossover
191,1000000,2.0,100,0.9,0.6,Normal,Linear_combination_crossover
192,1000000,2.0,100,0.9,0.7,Normal,Linear_combination_crossover
193,1000000,2.0,100,2.0,0.5,Normal,Linear_combination_crossover
194,1000000,2.0,100,2.0,0.6,Normal,Linear_combination_crossover
195,1000000,2.0,100,2.0,0.7,Normal,Linear_combination_crossover
196,1000000,2.0,100,5.0,0.5,Normal,Linear_combination_crossover
197,1000000,2.0,100,5.0,0.6,Normal,Linear_combination_crossover
198,1000000,2.0,100,5.0,0.7,Normal,Linear_combination_crossover
199,1000000,2.0,200,0.01,0.5,Normal,Linear_combination_crossover
200,1000000,2.0,200,0.01,0.6,Normal,Linear_combination_crossover
201,1000000,0.1,100,0.01,0.5,Uniform,Linear_combination_crossover
202,1000000,0.1,100,0.01,0.6,Uniform,Linear_combination_crossover
203,1000000,0.1,100,0.01,0.7,Uniform,Linear_combination_crossover
204,1000000,0.1,100,0.25,0.5,Uniform,Linear_combination_crossover
205,1000000,0.1,100,0.25,0.6,Uniform,Linear_combination_crossover
206,1000000,0.1,100,0.25,0.7,Uniform,Linear_combination_crossover
207,1000000,0.1,100,0.55,0.5,Uniform,Linear_combination_crossover
208,1000000,0.1,100,0.55,0.6,Uniform,Linear_combination_crossover
209,1000000,0.1,100,0.55,0.7,Uniform,Linear_combination_crossover
210,1000000,0.1,100,0.9,0.5,Uniform,Linear_combination_crossover
211,1000000,0.1,100,0.9,0.6,Uniform,Linear_combination_crossover
212,1000000,0.1,100,0.9,0.7,Uniform,Linear_combination_crossover
213,1000000,0.1,100,2.0,0.5,Uniform,Linear_combination_crossover
214,1000000,0.1,100,2.0,0.6,Uniform,Linear_combination_crossover
215,1000000,0.1,100,2.0,0.7,Uniform,Linear_combination_crossover
216,1000000,0.1,100,5.0,0.5,Uniform,Linear_combination_crossover
217,1000000,0.1,100,5.0,0.6,Uniform,Linear_combination_crossover
218,1000000,0.1,100,5.0,0.7,Uniform,Linear_combination_crossover
219,1000000,0.1,200,0.01,0.5,Uniform,Linear_combination_crossover
220,1000000,0.1,200,0.01,0.6,Uniform,Linear_combination_crossover
221,1000000,0.1,200,0.01,0.7,Uniform,Linear_combination_crossover
222,1000000,0.1,200,0.25,0.5,Uniform,Linear_combination_crossover
223,1000000,0.1,200,0.25,0.6,Uniform,Linear_combination_crossover
224,1000000,0.1,200,0.25,0.7,Uniform,Linear_combination_crossover
225,1000000,0.1,200,0.55,0.5,Uniform,Linear_combination_crossover
226,1000000,0.1,200,0.55,0.6,Uniform,Linear_combination_crossover
227,1000000,0.1,200,0.55,0.7,Uniform,Linear_combination_crossover
228,1000000,0.1,200,0.9,0.5,Uniform,Linear_combination_crossover
229,1000000,0.1,200,0.9,0.6,Uniform,Linear_combination_crossover
230,1000000,0.1,200,0.9,0.7,Uniform,Linear_combination_crossover
231,1000000,0.1,200,2.0,0.5,Uniform,Linear_combination_crossover
232,1000000,0.1,200,2.0,0.6,Uniform,Linear_combination_crossover
233,1000000,0.1,200,2.0,0.7,Uniform,Linear_combination_crossover
234,1000000,0.1,200,5.0,0.5,Uniform,Linear_combination_crossover
235,1000000,0.1,200,5.0,0.6,Uniform,Linear_combination_crossover
236,1000000,0.1,200,5.0,0.7,Uniform,Linear_combination_crossover
237,1000000,0.18,100,0.01,0.5,Uniform,Linear_combination_crossover
238,1000000,0.18,100,0.01,0.6,Uniform,Linear_combination_crossover
239,1000000,0.18,100,0.01,0.7,Uniform,Linear_combination_crossover
240,1000000,0.18,100,0.25,0.5,Uniform,Linear_combination_crossover
241,1000000,0.18,100,0.25,0.6,Uniform,Linear_combination_crossover
242,1000000,0.18,100,0.25,0.7,Uniform,Linear_combination_crossover
243,1000000,0.18,100,0.55,0.5,Uniform,Linear_combination_crossover
244,1000000,0.18,100,0.55,0.6,Uniform,Linear_combination_crossover
245,1000000,0.18,100,0.55,0.7,Uniform,Linear_combination_crossover
246,1000000,0.18,100,0.9,0.5,Uniform,Linear_combination_crossover
247,1000000,0.18,100,0.9,0.6,Uniform,Linear_combination_crossover
248,1000000,0.18,100,0.9,0.7,Uniform,Linear_combination_crossover
249,1000000,0.18,100,2.0,0.5,Uniform,Linear_combination_crossover
250,1000000,0.18,100,2.0,0.6,Uniform,Linear_combination_crossover
251,1000000,0.18,100,2.0,0.7,Uniform,Linear_combination_crossover
252,1000000,0.18,100,5.0,0.5,Uniform,Linear_combination_crossover
253,1000000,0.18,100,5.0,0.6,Uniform,Linear_combination_crossover
254,1000000,0.18,100,5.0,0.7,Uniform,Linear_combination_crossover
255,1000000,0.18,200,0.01,0.5,Uniform,Linear_combination_crossover
256,1000000,0.18,200,0.01,0.6,Uniform,Linear_combination_crossover
257,1000000,0.18,200,0.01,0.7,Uniform,Linear_combination_crossover
258,1000000,0.18,200,0.25,0.5,Uniform,Linear_combination_crossover
259,1000000,0.18,200,0.25,0.6,Uniform,Linear_combination_crossover
260,1000000,0.18,200,0.25,0.7,Uniform,Linear_combination_crossover
261,1000000,0.18,200,0.55,0.5,Uniform,Linear_combination_crossover
262,1000000,0.18,200,0.55,0.6,Uniform,Linear_combination_crossover
263,1000000,0.18,200,0.55,0.7,Uniform,Linear_combination_crossover
264,1000000,0.18,200,0.9,0.5,Uniform,Linear_combination_crossover
265,1000000,0.18,200,0.9,0.6,Uniform,Linear_combination_crossover
266,1000000,0.18,200,0.9,0.7,Uniform,Linear_combination_crossover
267,1000000,0.18,200,2.0,0.5,Uniform,Linear_combination_crossover
268,1000000,0.18,200,2.0,0.6,Uniform,Linear_combination_crossover
269,1000000,0.18,200,2.0,0.7,Uniform,Linear_combination_crossover
270,1000000,0.18,200,5.0,0.5,Uniform,Linear_combination_crossover
271,1000000,0.18,200,5.0,0.6,Uniform,Linear_combination_crossover
272,1000000,0.18,200,5.0,0.7,Uniform,Linear_combination_crossover
273,1000000,0.2,100,0.01,0.5,Uniform,Linear_combination_crossover
274,1000000,0.2,100,0.01,0.6,Uniform,Linear_combination_crossover
275,1000000,0.2,100,0.01,0.7,Uniform,Linear_combination_crossover
276,1000000,0.2,100,0.25,0.5,Uniform,Linear_combination_crossover
277,1000000,0.2,100,0.25,0.6,Uniform,Linear_combination_crossover
