,,combination163,combination163,combination163,combination199,combination199,combination199,combination198,combination198,combination198,combination23,combination23,combination23,combination22,combination22,combination22,combination59,combination59,combination59,combination95,combination95,combination95,combination146,combination146,combination146,combination164,combination164,combination164,combination162,combination162,combination162,combination145,combination145,combination145,combination182,combination182,combination182,combination144,combination144,combination144,combination180,combination180,combination180,combination181,combination181,combination181,combination5,combination5,combination5,combination41,combination41,combination41,combination21,combination21,combination21,combination110,combination110,combination110,combination128,combination128,combination128
iterations,,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000,500,2000,5000
F1,Times8,2978.23822293897,3617.376520112806,4116.512586552984,3705.249345304621,3557.667213121394,3614.314812614583,4526.189830822872,5361.842294209943,4993.968460971659,2836.323411454747,1831.171660082469,1965.145781121996,2281.781332457208,3633.355859438323,3095.640559592487,2803.163303743022,1303.526703924136,3005.444979472104,2213.514074329889,1560.378871881434,2077.114332930006,9336.004090829014,5638.011269511378,4989.759730560771,3284.235502260893,3649.563333169582,3437.43524312858,5568.028910636262,4013.60537138567,3380.149582050916,5729.020818188136,5023.120750041709,5404.16552721139,6198.430980112725,5324.359094795577,4273.05073261589,8585.147694167132,7912.215776773171,5935.271896966308,6209.408895664191,4507.687801339145,8635.669848281024,4208.265818720191,5053.822114403713,4772.582538712365,3918.839419252838,6171.36870466498,4044.407383151107,3761.555199341904,6269.357651910249,3604.46201003372,5796.630680299328,3841.557128871526,3761.830303397943,4223.307730191509,6590.173708776802,5403.910727583781,4299.731173012279,3506.423899854981,2738.74953513181
F1,Times9,4219.712801800884,3976.5882237771,3228.06554073534,2912.945088583589,3851.841202932953,3509.499953960078,3893.251249541937,3486.628903388927,3817.885826625052,4061.192431268785,2817.703949070795,3143.10515815438,3299.778909836629,3139.517734669262,2481.064753277899,3124.637304670639,2803.993554964494,2208.830960099189,2038.551871181202,2828.374185141651,2352.808479517902,6005.168525869526,4028.983029677964,4084.741206612699,3250.088545303725,2229.06857871117,3401.382254493248,5160.506568882794,4751.476104274198,4051.610613502293,6227.851754277816,6176.675512342008,6878.994217787841,3838.759489746137,7710.528516978965,6403.149862407427,7407.57910524403,3959.391232669544,7092.629265208861,5770.686825523713,7074.80439768243,4027.751451517407,4591.755691906576,9269.9670227576,4089.501674949758,4585.771746982097,5919.781399217121,3469.377695447925,4158.259256578765,5321.044464947565,5163.472039352363,4167.698132602884,3444.689242489104,3529.605725347656,5856.045926461689,5443.281517743096,4711.627416662549,2521.3403194966,4029.148129281965,3785.573106626162
F10,Times1,11.0366818978505,10.38754735244533,10.1105078073085,10.03354877739378,10.34166059063559,9.899680422540929,10.19205439129359,11.21815529647591,10.1473989573497,9.999497961265654,9.233327061463587,9.135064873165216,9.753774179921422,10.7219048744974,9.312327039180245,9.840063651004098,8.790719908929058,9.237189204087283,9.057089661029739,9.259391049133491,9.68160889602626,11.87555464639319,10.8975090269439,12.45703662624472,10.20611092729034,9.818312871583291,8.856860554303232,10.65984415260947,10.67320739896544,9.342674224562913,11.88015633275582,11.40822218020019,11.74691582924767,9.833481069527878,10.69170774831136,11.04342862192689,11.94166989198566,12.64367553911413,11.24622803560607,11.05009561951472,11.33176954954369,11.21635522633502,13.03498363751967,11.31734521912438,11.42015197218589,10.67358772015656,10.42874644242304,9.195197095529048,11.58775733185051,10.40477455089995,10.15823190080902,11.40581309621308,10.94752818221783,10.81107827043682,10.74255759375025,11.80439770118281,11.3172550844793,9.500634736929594,9.931587000623267,9.600531983746011
F10,Times10,11.55320226901034,10.78174779397519,11.00434909754398,10.74460760595815,10.65427470662362,10.02883714257277,11.57472971465308,10.95842526206379,10.89399536455923,9.454378676024994,9.09050019483511,8.611161607426318,9.378241918648417,9.024555537845636,10.05102656222143,9.643983887879537,8.432952566010151,8.947186995784806,9.71855377951369,9.292312259043921,9.331073982810178,12.09888553871236,10.47574912990565,11.60952612067022,9.349073292089336,9.494092728332044,10.31685769902446,11.89530956476159,10.19007574276969,10.04594575960631,11.03143176790195,12.77642890410635,10.7517113281522,10.85642217071863,12.22568318941605,9.586341259976246,10.99362049580717,11.82982235507766,13.27600484142456,11.63623316864234,12.91568079284627,10.92393522132494,10.99404001509399,10.44181210467853,11.46418360894681,11.16958960900106,10.61159271732767,8.895478131043337,13.21171344232064,10.22700680981628,9.507638542700615,10.95605812376627,9.496094789581248,9.43580763554061,10.48828756261921,11.39905815712987,10.70712430305442,9.715968938394536,9.72184535961896,9.803627910640344
F10,Times2,10.41195535999098,9.850159883175543,10.44402688528171,11.30657142272243,11.11221694987061,9.524184913744268,10.49043064757603,10.00933555072827,10.64489638105395,8.705156969006728,8.978398791587232,9.444260210533987,10.1899013028024,9.437941980470365,9.87850390249995,8.902091618322618,9.767692040246324,8.125472827998305,8.691917972764678,8.73482716312521,9.395060423127847,11.15627150393636,10.91471365465055,10.25034522141308,8.642644645083314,9.7829779610759,10.36370416657589,11.37470821023953,10.31901069880188,9.798272832457362,11.01910671844315,12.05967478955463,11.52552742590825,10.83982731129542,10.0702388488194,10.69868202236833,10.75475320284855,10.26886007087384,13.13334453290062,11.07734613333366,11.07937028848077,11.7439465247603,12.43950833971141,11.9225467255121,11.20204377434725,11.05763328554766,10.11450795555697,10.83990757827681,12.07805620107588,11.01375247884462,10.60952345151117,10.8202939517938,9.7429943199827,10.83669419103022,11.21899784299825,11.43808651516873,11.39429569484156,10.49294089619968,8.950406495967062,10.16617963739487
F10,Times3,11.02433663692601,10.64466049546563,9.26893177792169,10.32255493169246,10.81389406568232,10.18424820951202,10.493245853771,10.43513702205463,10.04441348136259,9.993682976987907,9.758388760113348,9.42681171481785,10.25463995933343,8.655619616283667,10.32330926521864,8.747559981589394,8.992081433930373,8.270206900601789,9.77871657224737,9.59202328492212,9.256311527297495,11.23315427696863,10.52400854063114,10.25155469482188,8.959833812024986,9.697450717730856,9.750854931654265,10.67368851585584,9.781192618017462,9.775991062993926,11.36978321372234,12.7650300172658,11.13693382280085,12.51454523706416,11.5065250147888,10.6106362388632,12.46328194792957,11.68634499986099,11.74521434894199,12.43007733432804,11.63789297228057,11.32861021558175,10.57077084204904,11.71923594604442,11.46810478227394,11.93735592213437,10.69008072538437,12.49675410878546,11.0115188473256,10.0975247884355,11.80705101052321,10.85866455514928,10.24255080569861,10.67706495568902,13.14122315064668,11.16191207808003,10.47342291306413,9.6323348948486,9.281397556194449,10.35087156762063
F10,Times4,10.38791830298498,8.675739488209668,10.37448070744206,10.50211051530977,10.13523447087052,9.890204582177578,11.17526578753156,11.37946823097004,10.18234944274815,10.69001292411723,9.779637846276188,8.940272069785838,10.39639225263094,8.803359976671242,9.630873098953838,10.1202837044493,9.210978309160428,7.467501126131744,10.29680918167865,8.922255317586815,8.32807661548273,10.99990417388121,11.07712221848236,11.00205189811118,10.28883891148608,10.80024056506462,9.691249642508993,9.74539000558186,10.86758564917117,10.13858735231881,12.24271356673123,10.73730265125783,11.06522928443701,11.00272405820021,10.68958435021519,11.24483008893564,11.01833367620715,11.7398956383783,12.35989072955575,13.14489652369198,12.29255462379131,10.91048066300561,11.87707533414682,11.59848618336143,10.17129873836736,11.72156879640808,9.515525666408841,10.1544601560576,11.19659284603389,9.56317954569608,11.03514673018988,9.495967679178097,9.79710471084356,9.524891180183127,12.02814376698275,12.22881197954059,10.27420479391855,10.14818827434316,10.12611442857721,8.627807830994472
F10,Times5,9.65667526166065,10.37573151612286,9.23543989696031,10.105433098817,9.717601321381608,9.971233708473605,11.46028580054593,10.21273880316147,12.06329565671412,10.66958853073144,8.52395368780108,8.55783753910194,11.24161129627455,10.36754623029068,10.13058355258895,9.83324298116887,8.83622061251156,8.576485284253694,10.49410767247063,9.227939596229362,8.557247740130595,10.26372590917021,11.27735414484655,10.53760631229457,9.977133657552692,10.31583055757386,9.197024427382066,10.96423864337209,11.60640137858776,9.939455295177648,12.61078184448056,10.6569318909123,11.62365751620822,10.93481434890329,10.66747070437116,10.03822154825402,12.44998658043645,11.26857429828616,11.43447742891853,13.0105429398896,11.99497888212559,11.53871661553191,11.458957285245,12.03043744096973,11.29487909867595,11.7334710147733,7.640570772002597,11.15639294513087,11.89221469986318,10.49011955675445,10.19383127421511,9.649880300226078,10.03563053934283,9.462455624286155,12.68957606643915,12.0122970203691,9.6600931173518,9.559641046526155,9.993369850970732,9.058701322525422
F10,Times6,10.12612889748233,10.9791459405474,10.79674221748138,10.18841796891967,10.78754436896324,8.7807612630175,10.22108688199658,10.36466187993518,10.22330702995148,9.85217893426034,8.548004227647994,8.737945064152983,9.270935815839476,9.585825696472686,8.887916225279424,9.895812202394417,8.418619756695426,9.086380178271009,10.21352839607032,8.885484535245444,8.744132823123062,12.85081080068005,12.1764064404954,10.11701740094168,8.944736914185095,9.713811727289805,10.78304418037189,10.28358719064635,10.4668007204566,10.73037708584305,12.04265675585904,11.17276311003176,12.09748942015142,12.37722190360031,10.50372369775005,12.19292825556706,13.12964621651965,12.93750205939174,13.34301851472753,12.92731944851396,12.88839162519857,11.22756876290777,11.07427608196548,11.04218702965203,10.30077739861711,11.41183759120115,11.48256633355798,10.25865257921756,12.02117642291327,10.55990347693991,11.26337758103146,11.20205276121469,9.631236678040441,10.62305867976425,10.51335011653628,12.61156458879462,10.35831785189681,10.30525976196059,9.787873846294016,10.03877033117362
F10,Times7,10.25234317931864,9.75814849908552,10.68443403302785,10.33403134556244,10.32783664931617,10.13056457743744,11.14702101107142,9.921837620451141,10.21026120331005,9.613936320283447,10.24469459319524,8.952317273086097,8.090368305564917,9.646438988278433,9.57415458726368,10.35431099058242,8.519574181591665,8.957916941769795,9.809367879771315,8.451613752303576,9.362521597505904,10.5727114729745,9.879445311727014,11.5429350711208,9.845067979715303,9.570625665317102,8.620079308682175,10.09815585553454,10.67523299964301,10.10147033397717,11.71870960793399,11.07922876705942,11.21052166851868,10.27364458655646,12.31546592487441,11.18462208153301,11.67837802955395,12.12433648888102,11.4507962685827,12.10127002862076,10.83897569920888,12.34514091545543,12.07243931699059,11.61472735244865,12.01444112498289,10.66829004093805,11.13524195306496,10.8576105391995,11.88840905638999,9.948368279673847,10.24752517077104,11.96948611936577,9.813057433712437,10.86128462185198,10.2105068830153,11.21360228528481,10.4895313571834,9.71497525454616,10.61572947741961,9.038385120368947
