Function,Times,combination164,combination162
F19,Times10,-0.3004789071949463,-0.3004789071949463
F20,Times1,-3.203102050263223,-3.320053002066964
F20,Times2,-3.20310205026393,-3.203102050263113
F20,Times3,-3.203102050261429,-3.321411800269966
F20,Times4,-3.203102050260504,-3.203102050263452
F20,Times5,-3.319955382324514,-3.320028028046318
F20,Times6,-3.32045631919862,-3.321016843480406
F20,Times7,-3.203102050263341,-3.320218814672107
F20,Times8,-3.321148602238625,-3.321170914007998
F20,Times9,-3.320498063873817,-3.320854796060136
F20,Times10,-3.203102050263615,-3.203102050264093
F21,Times1,-2.682860395692756,-5.055197728932829
F21,Times2,-5.055197728932622,-2.682860395693005
F21,Times3,-10.15316108223368,-10.15316740644091
F21,Times4,-2.682860395693103,-2.630471668410799
F21,Times5,-2.682860395693135,-10.15315450017766
F21,Times6,-2.68286039569303,-10.1531813313497
F21,Times7,-10.15318724823277,-5.100772140331856
F21,Times8,-10.15316652721871,-2.630471668410867
F21,Times9,-5.055197728932681,-2.682860395693137
F21,Times10,-5.100772140331985,-10.15316399617999
F22,Times1,-10.40278327780467,-2.751933563901198
F22,Times2,-3.724300346506919,-3.724300346506593
F22,Times3,-3.724300346506848,-3.724300346506958
F22,Times4,-3.724300346506914,-2.765897327778956
F22,Times5,-10.40278990702312,-2.765897327778794
F22,Times6,-5.128822796965329,-3.724300346506905
F22,Times7,-10.40289434280663,-5.128822796964453
F22,Times8,-10.40277262784084,-10.40280280945932
F22,Times9,-5.128822796965208,-1.837592971483639
F22,Times10,-5.08767182505946,-5.128822796963761
F23,Times1,-10.53625752837076,-3.835426803208859
F23,Times2,-1.676553250239221,-10.53625603760914
F23,Times3,-2.427335200074113,-3.835426803208922
F23,Times4,-10.5363367731514,-5.175646741647256
F23,Times5,-10.53629163784264,-3.8354268032087
F23,Times6,-3.835426803208684,-10.53627958380529
F23,Times7,-2.427335200074113,-2.421734027259775
F23,Times8,-5.128480786626859,-5.128480786626345
F23,Times9,-2.871142705229883,-10.53637111315689
F23,Times10,-2.421734027259835,-10.53633368077637
