,,590,593,579,588,589
F21,Times8,1000099,1000099,3733,1000099,1000099
F21,Times9,1000099,1000099,1000199,1000099,4894
F21,Times10,1000099,6092,1000199,1000099,3315
F22,Times1,1000099,1000099,4090,1000099,5572
F22,Times2,5607,1000099,1000199,1000099,1000099
F22,Times3,1000099,4137,1000199,1000099,1000099
F22,Times4,1000099,9700,5189,1000099,1000099
F22,Times5,1000099,1000099,1000199,3221,1000099
F22,Times6,1000099,1000099,1000199,1000099,1000099
F22,Times7,1000099,6972,1000199,1000099,4237
F22,Times8,1000099,1000099,1000199,4239,2954
F22,Times9,8271,1000099,4573,4043,1000099
F22,Times10,1000099,1000099,1000199,6315,1000099
F23,Times1,1000099,1000099,1000199,3791,1000099
F23,Times2,1000099,1000099,1000199,14337,9740
F23,Times3,6528,1000099,1664,1000099,6199
F23,Times4,7234,8977,1000199,1000099,2569
F23,Times5,1000099,1000099,1000199,1000099,1000099
F23,Times6,5826,1000099,1000199,6037,1000099
F23,Times7,1000099,1000099,1000199,1844,1000099
F23,Times8,1000099,6976,1000199,1000099,1000099
F23,Times9,1000099,1000099,1000199,1000099,1000099
F23,Times10,1000099,7664,1000199,7704,1000099
