Function,Times,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F6,Times1,4.368836835350801e-05,4.873932253320665e-05,4.83135767645163e-05,4.842474230884404e-05,4.975319885816832e-05,3.200736369399834e-05,3.48482561767273e-05,4.925521212826272e-05,974.6657408029681,290.6879917437588
F6,Times2,1.470502548831995e-05,4.719093471559301e-05,4.188032016933661e-05,4.896762308473867e-05,4.88727781447065e-05,4.988168389887683e-05,4.924120589470298e-05,4.994347593912305e-05,1.531029503729345,137.4098768055821
F6,Times3,3.666694837280001e-05,4.80696773742381e-05,4.986329775943885e-05,4.92195813724108e-05,4.719752301826854e-05,4.793560476408393e-05,4.165714201321796e-05,4.329718875109087e-05,4.025645054621334e-05,3.116094323933781e-05
F6,Times4,4.946855159252314e-05,4.382992349377703e-05,4.523779847898604e-05,4.964543734042753e-05,4.844724367698507e-05,4.134899783787093e-05,4.749100605639446e-05,4.616984135832094e-05,518.007054101052,62.71833689824947
F6,Times5,4.732533255621917e-05,4.987561417348064e-05,4.984140421739106e-05,4.994339860393079e-05,4.843846730983362e-05,4.504880850046452e-05,4.841960994876438e-05,4.369748845798281e-05,202.3206734536971,2.187012770892038e-05
F6,Times6,2.104368771860637e-05,4.690275828872218e-05,4.286849471136687e-05,4.777671810509456e-05,4.967592848928617e-05,4.800164596542995e-05,4.959867908169583e-05,4.984239846428149e-05,49.38095056240708,421.8882684425644
F6,Times7,1.63332509837564e-05,4.700727205486578e-05,4.984997839752579e-05,4.904748393386942e-05,4.94818148978196e-05,4.780894241145923e-05,4.978169872155229e-05,4.686119833690317e-05,125.2962853000181,733.0545656346121
F6,Times8,1.357039344818968e-05,4.987966049364733e-05,4.34409948442278e-05,4.900264095678878e-05,4.721265910568085e-05,4.984085256726159e-05,4.439260484549823e-05,4.99802492376425e-05,1.190491592773718e-07,253.034477605823
F6,Times9,4.391526314794627e-06,4.678219299105475e-05,4.282266873685041e-05,4.980197994336329e-05,4.997411268033222e-05,4.235682338787299e-05,4.071174003904405e-05,4.92430167678498e-05,1.091550353056762e-05,5.623918730076051
F6,Times10,4.629408965119526e-05,4.630519772227252e-05,3.477896031427912e-05,4.88389369021861e-05,4.749862432656223e-05,4.763871542628215e-05,2.628679580171182e-05,4.947475753577912e-05,880.9894077220335,1.137785647952786e-06
F7,Times1,72.42825217305015,57.15390554846755,65.27028966155362,64.13223207043876,61.32936788494489,25.24749156120044,19.90431696088457,13.9120184792478,73.20242820349401,60.29008422554634
F7,Times2,64.89862770312305,62.22225721040706,55.31398381542003,55.19642911106282,51.66040483376642,23.33153579348052,26.59536551870645,20.18666135462709,90.98742002219298,48.01602997274171
F7,Times3,57.21688173879375,67.90003715545045,62.02489079812742,52.6055680001169,54.41870982414743,27.64794330444816,19.1097620569126,20.78105015590482,81.6614019363852,48.43899611958025
F7,Times4,42.94940101209491,66.13229491952849,36.35677525498696,55.81181919709604,73.48996638331076,19.04440177095736,22.9981729070051,18.31662062077281,56.06526824113121,57.94973289957609
F7,Times5,50.68364979779147,75.58287423863985,60.68107958606672,56.33995072355035,52.31885718572899,21.87377834056432,18.99218421264645,21.72189531606016,100.0051842843646,60.23086458689049
F7,Times6,56.79895877235487,39.10779946875134,54.39133056213515,34.34895949154094,63.46401068654382,18.49623206201796,25.03696727908562,18.63465317142208,77.42591938957362,61.74692343823859
F7,Times7,49.35679728776648,57.57630051923966,34.14539824304113,56.64629422550689,50.88526210618964,23.84266428810596,19.52464448593076,21.13178804332852,65.79598925999113,58.00772362562147
F7,Times8,59.19257796955002,68.43753965750997,58.82363038776646,47.46802730682106,57.28377307337368,20.49790201333269,17.79241387861806,19.48275980814481,67.90006312836373,46.36064477476752
F7,Times9,50.82345462560448,38.88267630148428,51.93416656731253,57.25842284521987,53.31263266298848,24.95134046652747,22.5808602676242,17.65068750137843,71.50485022271005,58.85123599867531
F7,Times10,52.90149638650308,56.56368674857148,49.60659231862869,44.80403945505783,49.74611752828311,19.99752695628832,21.59757845835402,20.56389969521438,94.47617583416118,49.73864340267281
F8,Times1,-14572.33294217686,-14434.2043656664,-12794.07799342468,-13740.81760606815,-12517.73847155449,-13485.28472639663,-13030.06823712529,-14749.17170265923,-13881.79925401043,-15781.12941961465
F8,Times2,-13387.76065045081,-13206.0909953997,-14392.78818384363,-14431.68561042562,-14158.27470290713,-13682.43947313253,-13994.92914089984,-15006.29235314596,-13674.53956597775,-14257.02959586044
F8,Times3,-14175.20786838302,-14055.58436660678,-14194.85257110853,-14650.26431725225,-15459.63127064626,-12598.67950086699,-14788.11594276528,-15576.73198109703,-13304.94160364946,-14887.17458968588
F8,Times4,-15698.10573086957,-13939.30106547003,-15678.28799954955,-14158.47479552026,-14272.3508045663,-14788.42743168478,-14015.69255441667,-15184.18878067354,-14583.31645084862,-13939.4931058386
F8,Times5,-14767.36096709368,-14335.95422908212,-14313.35193872245,-14611.82869629855,-13129.67504244833,-13761.28173734971,-12516.52175448153,-15362.5744841224,-13148.100494247,-13349.59054196
F8,Times6,-12459.26002314946,-13762.02761691311,-14688.96990019678,-12794.61565127503,-13860.83474195253,-13920.82476433628,-14232.94125593354,-15321.69705800252,-12772.96919525193,-14214.394700265
F8,Times7,-14440.882833252,-14847.38050064822,-14117.97114034133,-16030.18727061719,-13858.8414254643,-14015.79503980904,-14508.48430433136,-14828.17164844934,-13842.55305987276,-15025.1717016609
F8,Times8,-13842.2610887446,-14157.79060323601,-13191.72723625636,-12432.77277358671,-14157.70987175352,-14215.71180862261,-13684.4490703563,-14984.58136738739,-14406.46736730685,-15645.83139275062
F8,Times9,-13939.17899490656,-13900.77898483983,-14472.82758045401,-14611.33615902401,-13645.15039032036,-14610.88490503489,-12615.11982047744,-14076.25968267412,-13027.19192375169,-14663.01648928851
F8,Times10,-13877.55119363438,-14176.47429584663,-13721.16410243249,-14589.55011470918,-15203.17689473249,-13959.38516546264,-14923.44115829559,-15005.29122242824,-13513.34550349345,-14885.67912253416
F9,Times1,173.1224623204787,202.9707728620519,233.8145504550068,141.2838585781418,250.7286667088868,0.0004046599324869504,0.0003297501170589356,0.0008245894248606334,223.8648268551817,137.3038548901759
F9,Times2,137.3039612099391,204.9604219526626,180.0866222009788,232.8194490777421,241.7738829085959,0.0003347205431651901,0.0004463102896909987,0.001099641417191322,194.0163750479683,221.8749549099539
F9,Times3,218.8902656127249,220.8799452835376,169.1426565002992,214.9103635975564,181.08190729859,0.00045287851290432,0.0005250833816727862,0.001277159411019468,196.0062220873422,167.1526319585766
F9,Times4,213.9154955633872,189.0416707001767,257.6932124507618,188.046448126272,182.0769877576362,0.001370402082145006,0.0002059592693104406,0.0006980536369738388,191.0312794068889,169.1426008936713
F9,Times5,192.0264518179107,154.2182504539769,207.9454721635535,232.8193882848422,201.9759615794765,0.001184638943726668,0.000428629815340642,0.0008332201804908124,237.7942644740449,131.334211885926
F9,Times6,204.9609145240075,171.1324280626782,208.9405429789576,185.0616573209969,148.2485821175976,0.0008399138399113326,0.0005408051082671506,0.0007571805891792849,197.9961807371465,155.2131231157133
F9,Times7,165.1626480216648,198.9910642127274,247.7436931687923,205.9557876192681,174.1173254111401,0.0009030840138581908,0.0002255343653150277,0.0003888791515347378,197.0010438964104,127.3544871014961
F9,Times8,188.0466149938183,154.2181695085329,159.1931013554994,253.7132745991486,189.0413666350022,0.001130229483489842,0.0003426250017586341,0.0006969454314482704,168.1476112918712,183.0717998850964
F9,Times9,189.0415181863623,229.8346529393004,202.9710116448557,189.0416657367779,207.9457010719611,0.0003867799754111445,0.0003178223092685784,0.0007983554306907337,214.9103432575739,138.2989253509404
F9,Times10,163.1728059049098,233.8143423347378,203.9660415965739,206.9507725277507,168.1474389422785,0.001085501037840331,0.0003131286621727014,0.001223025900980446,212.9204351998385,200.980961230144
F10,Times1,16.84034929554642,17.32787184030449,18.07094103041124,18.06498785999261,16.7621541173531,0.00129938851896938,0.000687449716835431,0.001192292090557601,17.4204781342051,16.82798025203096
F10,Times2,16.70810267189557,16.95489206330759,16.65936781688023,17.1294147215887,16.73998085090702,0.001092172387849644,0.0006151225995587595,0.001074756579829028,17.83026326128424,16.18209850393048
F10,Times3,17.557903271799,17.18709667355354,16.62169507589496,17.28323584860182,16.73710265281566,0.001290904760740119,0.0007942741212083604,0.001437769952694623,18.63247329058607,15.64171438311087
F10,Times4,16.85740577098101,17.28486862416796,17.24527146188162,17.35213835465325,17.61901392741937,0.001208855295868005,0.0006872871338252651,0.001241224503843341,18.06995066430968,17.2290767825973
F10,Times5,16.26903611412529,17.05583157958249,17.2070708325038,18.00051442925309,17.34057400275121,0.001316553193088765,0.0007711987635907747,0.001361339544597939,17.86960353556174,17.29030056663071
F10,Times6,17.4519359898233,18.47500294604658,16.51419634936515,17.29517520305003,16.52375607424126,0.001510103127319695,0.0008321446907721963,0.001169881770461956,17.63283067307205,17.15876834045636
F10,Times7,17.02796451743732,17.11813998370253,16.12137468894784,17.30864756513973,16.63684362380102,0.001302787330853761,0.0007348848570494226,0.000807397869937887,17.37038211493381,14.51425328534523
F10,Times8,18.13536567825124,17.6601134814427,16.6307968246002,16.64437795627187,17.87036458221183,0.001282478429157408,0.000793602678214711,0.001248748888851736,16.69124578173488,17.3113299791135
F10,Times9,16.99144956275711,17.66272924807662,16.53089849766177,16.96135466871145,17.74917905208997,0.001506002416057584,0.0006624932043237663,0.0009200629309447095,17.6230374252772,16.73854222057124
F10,Times10,17.73260052526117,16.77915999406557,17.1922533540737,16.64512990924174,17.61453156518903,0.001304366847101335,0.0007876210583077636,0.001301310776664621,17.42400194772262,17.03791879702251
F11,Times1,166.1670681560036,127.6847936602424,312.4952801912276,96.93035562946862,104.5620062945953,21.14019884783117,10.92287226959487,7.90931050865311,140.8610235878504,166.3313033836302
F11,Times2,348.2548905213301,97.18781471119573,254.3875092351442,126.0909154071339,147.5978149820621,13.29202151008573,16.22852464154603,14.19095552178179,309.0612916462927,153.8096952603335
F11,Times3,169.9421173679514,114.1730778827636,113.2688322440992,224.2742897324057,206.0821679851409,14.24768050879484,18.94650851191363,12.1505000205036,148.8131901515508,121.3224014519798
F11,Times4,122.8104904452833,76.82997229181943,200.8111636709882,164.5737650373304,116.6829040411561,13.6566026006937,12.22106855500326,3.945999926678545,281.1594768275739,124.0992337088696
F11,Times5,105.1922192677645,64.02660622590673,237.6409835996858,105.2180725953119,137.0552946563074,15.6738426709613,7.931350749252374,17.83946345583415,298.407335131407,86.33756345112081
F11,Times6,177.2668477221089,130.0727025632237,300.8160300666866,139.873430228791,104.4501022730099,10.83799798463053,13.72750504979311,14.52262240801907,233.1696343486038,165.8837064819057
F11,Times7,175.0838541565807,166.9744108761626,149.6139079905599,64.98728837427028,93.7564225824109,13.94560948954589,10.87170637706209,10.60648953242433,200.7820418302929,207.8788092911651
F11,Times8,222.0395234112196,187.6153068849354,182.8440266563115,183.5930957776535,56.50246480112238,8.391646819104805,19.56572252118199,6.642574139949962,159.6690557940955,217.3567425095901
F11,Times9,104.020872266181,128.2073731323909,173.716246178569,119.4480681462573,93.08413130778068,9.670460286879372,18.47622772949667,15.21814979828936,202.2136308807205,101.0038089042569
F11,Times10,152.8349894048013,74.80657862900512,179.7595311560393,215.1742544899018,95.4291013828347,7.0072847057306,8.730483578086318,5.878030251894867,237.5651475293137,184.5823476562289
F12,Times1,196.8110693270453,194.2081476763606,200.4718560214174,220.9207631060501,173.7612044010949,4.994170722959763e-05,4.451579483868515e-05,4.006332319814091e-05,208.8560069679593,216.823209263189
F12,Times2,228.395258670356,224.8482733570972,217.8304675686955,144.8680842030246,220.1580944048043,2.758730295991155e-05,4.99879398292037e-05,4.728856985489733e-05,184.8568259862196,184.4104678695425
