,ranking
395,781.0
394,782.0
393,783.0
392,784.0
401,785.0
327,786.0
431,787.0
325,788.0
443,789.0
442,790.0
441,791.0
263,792.0
264,793.0
265,794.0
266,795.0
267,796.0
268,797.0
269,798.0
270,799.0
271,800.0
272,801.0
273,802.0
274,803.0
275,804.0
276,805.0
277,806.0
326,807.0
278,808.0
279,809.0
280,810.0
281,811.0
282,812.0
283,813.0
284,814.0
285,815.0
286,816.0
287,817.0
262,818.0
288,819.0
261,820.0
259,821.0
444,822.0
231,823.0
232,824.0
233,825.0
234,826.0
235,827.0
236,828.0
237,829.0
238,830.0
239,831.0
240,832.0
241,833.0
242,834.0
243,835.0
244,836.0
245,837.0
246,838.0
247,839.0
248,840.0
249,841.0
250,842.0
251,843.0
252,844.0
253,845.0
254,846.0
255,847.0
256,848.0
257,849.0
258,850.0
260,851.0
289,852.0
366,853.0
291,854.0
297,855.0
298,856.0
299,857.0
300,858.0
290,859.0
302,860.0
303,861.0
304,862.0
305,863.0
306,864.0
307,865.0
308,866.0
309,867.0
296,868.0
310,869.0
312,870.0
313,871.0
314,872.0
315,873.0
316,874.0
317,875.0
318,876.0
319,877.0
320,878.0
321,879.0
322,880.0
323,881.0
324,882.0
311,883.0
295,884.0
301,885.0
440,886.0
439,887.0
292,888.0
294,889.0
438,890.0
293,891.0
858,892.0
809,893.0
1015,894.0
1051,895.0
841,896.0
1148,897.0
932,898.0
1100,899.0
1043,900.0
827,901.0
1134,902.0
804,903.0
898,904.0
881,905.0
895,906.0
1032,907.0
862,908.0
1104,909.0
808,910.0
1087,911.0
1185,912.0
845,913.0
1116,914.0
1010,915.0
1068,916.0
825,917.0
840,918.0
914,919.0
1120,920.0
1036,921.0
1046,922.0
807,923.0
1031,924.0
1153,925.0
812,926.0
1086,927.0
1082,928.0
811,929.0
902,930.0
1171,931.0
829,932.0
901,933.0
848,934.0
880,935.0
1133,936.0
1072,937.0
876,938.0
1014,939.0
1108,940.0
865,941.0
1115,942.0
861,943.0
884,944.0
1170,945.0
1152,946.0
1184,947.0
1137,948.0
897,949.0
844,950.0
833,951.0
1119,952.0
913,953.0
905,954.0
935,955.0
869,956.0
1018,957.0
1169,958.0
1013,959.0
1141,960.0
1151,961.0
1189,962.0
675,963.0
847,964.0
1067,965.0
1103,966.0
1174,967.0
931,968.0
1050,969.0
883,970.0
1188,971.0
917,972.0
1118,973.0
879,974.0
828,975.0
1136,976.0
1090,977.0
832,978.0
1123,979.0
839,980.0
1054,981.0
950,982.0
1156,983.0
1155,984.0
810,985.0
815,986.0
1035,987.0
843,988.0
904,989.0
1085,990.0
1173,991.0
